group1,group2,meandiff,p-adj,lower,upper,reject
122,152,-7406.9883,0.9999,-31498.1559,16684.1793,False
122,299,-4539.2802,1.0,-22351.8935,13273.333,False
122,302,26893.0151,0.1114,-2162.0262,55948.0565,False
122,400,-11028.9033,0.9829,-34497.1481,12439.3415,False
122,458,1998.2474,1.0,-22092.9202,26089.415,False
122,470,-5215.1926,1.0,-26263.4272,15833.042,False
122,1022,6373.1025,1.0,-26551.4123,39297.6173,False
122,1724,3872.331,1.0,-22986.6222,30731.2841,False
122,1863,12753.8218,0.8287,-8294.4128,33802.0564,False
122,2000,1034.3879,1.0,-9449.2411,11518.0168,False
122,2196,32715.7521,0.0003,8624.5845,56806.9197,True
122,4001,25013.286,0.2385,-4694.7592,54721.3311,False
122,4068,4364.9503,1.0,-20413.2722,29143.1729,False
122,4360,19129.9962,0.492,-6824.7894,45084.7819,False
122,7100,3003.1324,1.0,-22537.6748,28543.9395,False
122,7405,2839.9968,1.0,-22309.2572,27989.2508,False
122,7750,3767.2135,1.0,-28244.8466,35779.2736,False
122,7784,16994.6278,0.2218,-2982.2138,36971.4695,False
122,8000,15523.3041,0.3696,-4294.7186,35341.3268,False
152,299,2867.7081,1.0,-24412.0182,30147.4344,False
152,302,34300.0035,0.0763,-1352.3416,69952.3485,False
152,400,-3621.915,1.0,-34889.3548,27645.5248,False
152,458,9405.2357,1.0,-22332.4176,41142.889,False
152,470,2191.7957,1.0,-27302.6522,31686.2436,False
152,1022,13780.0908,0.9995,-25090.4372,52650.6189,False
152,1724,11279.3193,0.9998,-22607.2214,45165.8601,False
152,1863,20160.8102,0.6404,-9333.6378,49655.2581,False
152,2000,8441.3762,0.9993,-14727.5848,31610.3372,False
152,2196,40122.7404,0.0013,8385.0872,71860.3937,True
152,4001,32420.2743,0.1485,-3766.218,68606.7666,False
152,4068,11771.9387,0.9992,-20490.3394,44034.2168,False
152,4360,26536.9846,0.3292,-6637.4812,59711.4503,False
152,7100,10410.1207,0.9999,-22441.4715,43261.7129,False
152,7405,10246.9852,0.9999,-22301.1216,42795.0919,False
152,7750,11174.2018,1.0,-26926.5366,49274.9402,False
152,7784,24401.6162,0.2249,-4338.0512,53141.2836,False
152,8000,22930.2924,0.3268,-5699.2081,51559.793,False
299,302,31432.2954,0.056,-316.6344,63181.2251,False
299,400,-6489.6231,1.0,-33220.8338,20241.5876,False
299,458,6537.5276,1.0,-20742.1987,33817.254,False
299,470,-675.9124,1.0,-25309.7771,23957.9523,False
299,1022,10912.3827,0.9999,-24412.1525,46236.9179,False
299,1724,8411.6112,1.0,-21340.7413,38163.9637,False
299,1863,17293.1021,0.5895,-7340.7627,41926.9668,False
299,2000,5573.6681,0.9998,-10970.3818,22117.718,False
299,2196,37255.0323,0.0002,9975.306,64534.7587,True
299,4001,29552.5662,0.1254,-2795.0312,61900.1636,False
299,4068,8904.2306,0.9999,-18984.1079,36792.5691,False
299,4360,23669.2765,0.2883,-5269.4521,52608.005,False
299,7100,7542.4126,1.0,-21025.6105,36110.4357,False
299,7405,7379.2771,1.0,-20839.2291,35597.7832,False
299,7750,8306.4937,1.0,-26169.1659,42782.1533,False
299,7784,21533.9081,0.1328,-2191.0432,45258.8594,False
299,8000,20062.5843,0.2224,-3528.7941,43653.9628,False
302,400,-37921.9184,0.0197,-73156.3315,-2687.5054,True
302,458,-24894.7677,0.5999,-60547.1128,10757.5773,False
302,470,-32108.2078,0.0835,-65779.1675,1562.752,False
302,1022,-20519.9126,0.9749,-62647.4455,21607.6202,False
302,1724,-23020.6842,0.815,-60598.7192,14557.3509,False
302,1863,-14139.1933,0.9953,-47810.153,19531.7664,False
302,2000,-25858.6273,0.125,-54153.7121,2436.4576,False
302,2196,5822.737,1.0,-29829.6081,41475.082,False
302,4001,-1879.7292,1.0,-41544.2384,37784.7801,False
302,4068,-22528.0648,0.791,-58648.2207,13592.0911,False
302,4360,-7763.0189,1.0,-44700.2122,29174.1744,False
302,7100,-23889.8827,0.7238,-60537.3681,12757.6026,False
302,7405,-24053.0183,0.6999,-60428.7015,12322.6649,False
302,7750,-23125.8016,0.9092,-64544.123,18292.5197,False
302,7784,-9898.3873,1.0,-42910.1966,23113.422,False
302,8000,-11369.711,0.9997,-44285.6551,21546.233,False
400,458,13027.1507,0.9958,-18240.2891,44294.5905,False
400,470,5813.7107,1.0,-23174.1595,34801.5808,False
400,1022,17402.0058,0.9888,-21085.5521,55889.5637,False
400,1724,14901.2343,0.9906,-18545.3171,48347.7857,False
400,1863,23782.7251,0.2828,-5205.145,52770.5953,False
400,2000,12063.2912,0.9368,-10457.253,34583.8354,False
400,2196,43744.6554,0.0001,12477.2156,75012.0952,True
400,4001,36042.1893,0.0459,267.3883,71816.9903,True
400,4068,15393.8537,0.9765,-16405.9694,47193.6767,False
400,4360,30158.8995,0.1159,-2566.0043,62883.8034,False
400,7100,14032.0357,0.9932,-18365.5146,46429.586,False
400,7405,13868.9001,0.9934,-18220.871,45958.6713,False
400,7750,14796.1168,0.998,-22913.8345,52506.0681,False
400,7784,28023.5312,0.0541,-196.0124,56243.0747,False
400,8000,26552.2074,0.0917,-1555.1307,54659.5456,False
458,470,-7213.44,1.0,-36707.8879,22281.0079,False
458,1022,4374.8551,1.0,-34495.673,43245.3832,False
458,1724,1874.0836,1.0,-32012.4572,35760.6244,False
458,1863,10755.5744,0.9993,-18738.8735,40250.0224,False
458,2000,-963.8595,1.0,-24132.8205,22205.1015,False
458,2196,30717.5047,0.0716,-1020.1486,62455.158,False
458,4001,23015.0386,0.7626,-13171.4537,59201.5309,False
458,4068,2366.703,1.0,-29895.5752,34628.9811,False
458,4360,17131.7488,0.955,-16042.7169,50306.2146,False
458,7100,1004.885,1.0,-31846.7072,33856.4772,False
458,7405,841.7494,1.0,-31706.3573,33389.8562,False
458,7750,1768.9661,1.0,-36331.7723,39869.7045,False
458,7784,14996.3805,0.9504,-13743.2869,43736.0478,False
458,8000,13525.0567,0.9819,-15104.4438,42154.5573,False
470,1022,11588.2951,0.9999,-25473.2992,48649.8895,False
470,1724,9087.5236,1.0,-22707.7821,40882.8293,False
470,1863,17969.0145,0.693,-9096.9472,45034.9761,False
470,2000,6249.5805,0.9999,-13736.5291,26235.6901,False
470,2196,37930.9447,0.0009,8436.4968,67425.3926,True
470,4001,30228.4786,0.1674,-4007.5557,64464.513,False
470,4068,9580.143,0.9999,-20478.1073,39638.3933,False
470,4360,24345.1889,0.3668,-6690.0975,55380.4752,False
470,7100,8218.325,1.0,-22471.5908,38908.2408,False
470,7405,8055.1895,1.0,-22309.6434,38420.0224,False
470,7750,8982.4061,1.0,-27271.0088,45235.821,False
470,7784,22209.8205,0.23,-4031.603,48451.2439,False
470,8000,20738.4967,0.3434,-5382.2254,46859.2189,False
1022,1724,-2500.7715,1.0,-43144.7989,38143.2559,False
1022,1863,6380.7193,1.0,-30680.875,43442.3137,False
